id,seasondrill_id,type,ordering,start_date,end_date,description,comment,checked_out,checked_out_time,published
1486,226,6,1319,0000-00-00 00:00:00,0,,,0,0000-00-00 00:00:00,1
1487,226,7,1320,0000-00-00 00:00:00,0,,,0,0000-00-00 00:00:00,1
1488,226,8,1321,0000-00-00 00:00:00,0,,,0,0000-00-00 00:00:00,1
1489,250,129,1322,0000-00-00 00:00:00,0,,,0,0000-00-00 00:00:00,1
1490,250,42,1323,0000-00-00 00:00:00,0,,,0,0000-00-00 00:00:00,1
1491,250,47,1324,0000-00-00 00:00:00,0,,,0,5/27/2015 14:25,1
1492,250,53,1325,0000-00-00 00:00:00,0,,,0,5/27/2015 14:25,1
1493,250,51,1326,0000-00-00 00:00:00,0,,,0,5/27/2015 14:25,1
1494,250,44,1327,0000-00-00 00:00:00,0,,,0,5/27/2015 14:25,1
1495,250,54,1328,0000-00-00 00:00:00,0,,,0,5/27/2015 14:25,1
1496,250,54,1329,0000-00-00 00:00:00,0,,,0,5/27/2015 14:25,1
1497,250,69,1330,0000-00-00 00:00:00,0,,,0,5/27/2015 14:26,1
1498,250,49,1331,0000-00-00 00:00:00,0,,,0,5/27/2015 14:26,1
1499,237,129,1332,0000-00-00 00:00:00,0,,,0,0000-00-00 00:00:00,1
1500,237,1,1333,0000-00-00 00:00:00,0,,,0,0000-00-00 00:00:00,1
1501,237,2,1334,0000-00-00 00:00:00,0,,,0,0000-00-00 00:00:00,1
1502,237,3,1335,0000-00-00 00:00:00,0,,,0,0000-00-00 00:00:00,1
1503,237,4,1336,0000-00-00 00:00:00,0,,,0,0000-00-00 00:00:00,1
1504,237,5,1337,0000-00-00 00:00:00,0,,,0,0000-00-00 00:00:00,1
1505,237,6,1338,0000-00-00 00:00:00,0,,,0,0000-00-00 00:00:00,1
1506,237,7,1339,0000-00-00 00:00:00,0,,,0,0000-00-00 00:00:00,1
1507,237,8,1340,0000-00-00 00:00:00,0,,,0,0000-00-00 00:00:00,1
1508,244,129,1341,0000-00-00 00:00:00,0,,,0,5/29/2015 19:00,1
